XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.566912 96.973039 13.141052
2.567912 102.864089 13.541213
2.568912 100.079096 13.362736
2.569912 100.858246 13.364318
2.570911 119.233703 14.466910
2.571911 131.360190 15.265157
2.572911 99.982514 13.278278
2.573911 106.720357 13.780751
2.574911 102.407111 13.485946
2.575911 94.597807 12.877398
2.576910 105.507613 13.617626
2.577910 95.621893 13.016798
2.578910 121.541686 14.561622
2.579910 105.034453 13.582648
2.580910 104.793511 13.598824
2.581910 124.590154 14.761403
2.582910 117.804873 14.373297
2.583909 110.471808 13.984112
2.584909 88.716838 12.519446
2.585909 100.251726 13.176782
2.586909 93.741135 12.581309
2.587909 105.022189 13.657040
2.588909 115.254946 14.324945
2.589908 112.027286 14.104839
2.590908 100.343440 13.358917
2.591908 105.018772 13.670877
2.592908 119.767840 14.507874
2.593908 94.151045 12.867028
2.594908 118.113445 14.351973
2.595908 87.859875 12.443170
2.596907 90.590048 12.595236
2.597907 128.517567 15.062886
2.598907 128.438081 15.044985
2.599907 127.323192 15.021619
2.600907 117.274231 14.432349
2.601907 97.032483 13.097658
2.602906 90.857964 12.631697
2.603906 111.472676 14.056361
2.604906 125.861460 14.919009
2.605906 109.394155 13.956420
2.606906 104.274202 13.614798
2.607906 109.531308 13.991189
2.608906 136.876476 15.522777
2.609905 119.218610 14.503702
2.610905 113.153009 14.200223
2.611905 134.888809 15.476838
2.612905 108.813244 13.933016
2.613905 123.437969 14.794572
2.614905 123.903081 14.838274
2.615904 112.627348 14.121466
2.616904 106.869349 13.841484
2.617904 118.189606 14.379376
2.618904 105.448866 13.627954
2.619904 122.039497 14.689779
2.620904 109.214315 13.887706
2.621904 115.251033 14.185576
2.622903 103.023040 13.405848
2.623903 110.905536 13.871453
2.624903 114.624736 14.317697
2.625903 106.774002 13.773748
2.626903 134.246061 15.358653
2.627903 88.657220 12.506054
2.628902 107.491048 13.764393
2.629902 115.954822 14.246318
2.630902 92.432808 12.764034
2.631902 103.750723 13.537931
2.632902 109.282826 13.860470
2.633902 99.008133 13.158627
2.634902 102.577103 13.437240
2.635901 102.675231 13.506515
2.636901 98.289410 13.224217
2.637901 93.353129 12.878269
2.638901 130.004599 15.162734
2.639901 107.084030 13.840283
2.640901 119.255241 14.535081
2.641900 119.495641 14.519011
2.642900 93.797515 12.883838
2.643900 106.194496 13.712351
2.644900 101.363723 13.412961
2.645900 115.119211 14.193857
2.646900 119.323779 14.493903
2.647899 113.206923 14.137841
2.648899 111.907252 14.065525
2.649899 94.226238 12.969446
2.650899 87.629736 12.430764
2.651899 99.682694 13.251285
2.652899 135.170067 15.446555
2.653899 98.351025 13.226589
2.654898 116.297913 14.321726
2.655898 107.266905 13.692478
2.656898 88.213017 12.568740
2.657898 89.620173 12.634044
2.658898 98.213645 13.124521
2.659898 101.699038 13.266702
2.660897 99.799845 13.169860
2.661897 94.147058 12.824768
2.662897 86.798826 12.336061
2.663897 98.905112 13.163651
2.664897 110.564871 14.003793
2.665897 122.489723 14.692936
2.666897 98.769329 13.117792
2.667896 102.663968 13.406036
2.668896 91.913224 12.722607
2.669896 113.625720 14.124251
2.670896 116.957290 14.383496
2.671896 83.908028 12.194781
2.672896 112.609609 14.101501
2.673895 115.954378 14.231811
2.674895 104.052752 13.546844
2.675895 98.598473 13.210117
2.676895 106.294713 13.726124
2.677895 113.304009 14.150056
2.678895 109.548333 13.882178
2.679895 103.443013 13.511863
2.680894 95.774098 13.060715
2.681894 129.484687 15.142679
2.682894 88.541380 12.571819
2.683894 132.479923 15.327976
2.684894 118.095281 14.536414
2.685894 83.964073 12.263648
2.686893 98.322309 13.231975
2.687893 75.580948 11.528970
2.688893 90.739997 12.517859
2.689893 100.426235 13.217865
2.690893 128.067869 14.945075
2.691893 103.484438 13.474324
2.692893 93.892476 12.907552
2.693892 108.610802 13.847148
2.694892 99.985993 13.225553
2.695892 116.153467 14.282803
2.696892 97.311377 13.112146
2.697892 96.858588 13.101402
2.698892 102.862805 13.470522
2.699891 118.062133 14.397438
2.700891 115.206770 14.259341
2.701891 96.723611 13.083467
2.702891 97.990313 13.142009
2.703891 118.504276 14.532863
2.704891 105.708221 13.648710
2.705890 97.248039 12.983493
2.706890 95.898683 12.927822
2.707890 96.705382 13.028451
2.708890 103.321687 13.475494
2.709890 116.356382 14.303961
2.710890 122.142274 14.739547
2.711890 122.142273 14.683998
2.712889 104.024358 13.496952
2.713889 90.520730 12.649454
2.714889 124.061060 14.748148
2.715889 122.642039 14.756769
2.716889 106.512299 13.722622
2.717889 111.697113 14.032243
2.718888 97.979694 13.226091
2.719888 94.989131 12.997408
2.720888 97.202200 13.146231
2.721888 101.120471 13.351887
2.722888 103.405814 13.470371
2.723888 127.693364 14.925439
2.724888 97.949178 13.073235
2.725887 116.321103 14.245256
2.726887 100.506354 13.268085
2.727887 77.403370 11.823884
2.728887 96.232162 13.052206
2.729887 91.814612 12.733911
2.730887 112.036220 14.074599
2.731886 112.535363 14.018462
2.732886 98.384907 13.193274
2.733886 107.539211 13.720805
2.734886 101.670714 13.335771
2.735886 85.303291 12.217336
2.736886 82.577039 12.072218
